state,district,pincode,pincode_total,district_avg,state_avg
100000,100000,100000,13,1.4444444444444444,1.4444444444444444
Andaman & Nicobar Islands,Andamans,744101,8,1.0,1.0
Andaman & Nicobar Islands,Andamans,744103,9,1.0,1.0
Andaman & Nicobar Islands,Andamans,744105,8,1.1428571428571428,1.1428571428571428
Andaman & Nicobar Islands,Andamans,744106,5,1.25,1.25
Andaman & Nicobar Islands,Andamans,744107,5,1.0,1.0
Andaman & Nicobar Islands,Andamans,744207,1,1.0,1.0
Andaman & Nicobar Islands,Nicobars,744301,1,1.0,1.0
Andaman & Nicobar Islands,South Andaman,744103,4,1.0,1.0
Andaman & Nicobar Islands,South Andaman,744105,7,1.1666666666666667,1.1666666666666667
Andaman & Nicobar Islands,South Andaman,744107,3,1.0,1.0
Andaman & Nicobar Islands,South Andaman,744206,5,1.25,1.25
Andaman & Nicobar Islands,South Andaman,744207,1,1.0,1.0
Andaman and Nicobar Islands,Nicobar,744301,49,2.7222222222222223,2.7222222222222223
Andaman and Nicobar Islands,Nicobar,744302,1,1.0,1.0
Andaman and Nicobar Islands,Nicobar,744303,3,1.0,1.0
Andaman and Nicobar Islands,Nicobar,744304,1,1.0,1.0
Andaman and Nicobar Islands,North And Middle Andaman,744201,6,1.2,1.2
Andaman and Nicobar Islands,North And Middle Andaman,744202,22,1.6923076923076923,1.6923076923076923
Andaman and Nicobar Islands,North And Middle Andaman,744203,1,1.0,1.0
Andaman and Nicobar Islands,North And Middle Andaman,744204,9,1.5,1.5
Andaman and Nicobar Islands,North And Middle Andaman,744205,12,1.3333333333333333,1.3333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,744209,4,1.3333333333333333,1.3333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,744210,1,1.0,1.0
Andaman and Nicobar Islands,South Andaman,744101,9,1.125,1.125
Andaman and Nicobar Islands,South Andaman,744102,13,1.0833333333333333,1.0833333333333333
Andaman and Nicobar Islands,South Andaman,744103,5,1.0,1.0
Andaman and Nicobar Islands,South Andaman,744104,4,1.3333333333333333,1.3333333333333333
Andaman and Nicobar Islands,South Andaman,744105,20,1.25,1.25
Andaman and Nicobar Islands,South Andaman,744106,7,1.1666666666666667,1.1666666666666667
Andaman and Nicobar Islands,South Andaman,744107,3,1.0,1.0
Andaman and Nicobar Islands,South Andaman,744112,1,1.0,1.0
Andaman and Nicobar Islands,South Andaman,744206,11,1.2222222222222223,1.2222222222222223
Andaman and Nicobar Islands,South Andaman,744207,9,1.0,1.0
Andhra Pradesh,Adilabad,504001,42,2.1,2.1
Andhra Pradesh,Adilabad,504101,8,1.0,1.0
Andhra Pradesh,Adilabad,504102,10,1.25,1.25
Andhra Pradesh,Adilabad,504103,10,1.25,1.25
Andhra Pradesh,Adilabad,504104,2,1.0,1.0
Andhra Pradesh,Adilabad,504105,1,1.0,1.0
Andhra Pradesh,Adilabad,504106,20,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Adilabad,504109,14,1.0769230769230769,1.0769230769230769
Andhra Pradesh,Adilabad,504201,17,1.5454545454545454,1.5454545454545454
Andhra Pradesh,Adilabad,504203,7,1.4,1.4
Andhra Pradesh,Adilabad,504204,14,1.1666666666666667,1.1666666666666667
Andhra Pradesh,Adilabad,504205,8,1.1428571428571428,1.1428571428571428
Andhra Pradesh,Adilabad,504206,4,1.0,1.0
Andhra Pradesh,Adilabad,504207,21,1.5,1.5
Andhra Pradesh,Adilabad,504208,27,1.6875,1.6875
Andhra Pradesh,Adilabad,504209,8,1.3333333333333333,1.3333333333333333
Andhra Pradesh,Adilabad,504214,16,1.3333333333333333,1.3333333333333333
